,LTDValue,PurchaseFrequency,PurchaseRecencyDays
2,0.7124395541351889,0.5648395527072791,-0.25236299928976214
3,0.737599592749717,-0.8116014630028459,-0.8031948266565734
4,-0.703311235142379,-0.8116014630028459,2.059163419124535
5,1.6896054063823498,2.4000942403207794,-0.6359780219202199
6,-0.9577608624897,-0.8116014630028459,1.0165174601802138
7,0.2691471751188045,-0.8116014630028459,1.2919333738636194
8,-0.4989091489091367,-0.8116014630028459,1.1148802864957157
9,2.0134154749914845,0.10602588080390415,-0.7638496961303726
11,0.08166710402462929,-0.35278779109947084,-0.9704116313929267
13,1.7837790221123564,0.10602588080390415,-0.4785974998154167
14,-0.8513478975961515,-0.8116014630028459,1.8329289185988804
16,-0.38419622051399577,-0.35278779109947084,0.0919068928144949
17,0.4285808023807333,0.5648395527072791,-0.9113939356036256
18,-0.2734722298017097,-0.35278779109947084,1.8722740491250813
19,-0.8810791101391686,-0.8116014630028459,-0.9507390661298264
20,3.175732453350285,0.5648395527072791,-0.48843378244696695
21,0.8248235375477935,-0.8116014630028459,-0.39990723876301515
22,0.41364086807786726,0.10602588080390415,-0.2818718471844127
23,-0.6658994593590825,-0.8116014630028459,2.068999701756085
24,-0.2963280994441541,-0.8116014630028459,-0.7441771308672721
25,-0.6003669117121824,-0.35278779109947084,-0.881885087708975
26,0.8497977560839276,-0.35278779109947084,2.108344832282286
28,-0.10516879079778055,-0.35278779109947084,-0.18350902086891072
29,1.9395581878325396,0.5648395527072791,-0.7736859787619228
30,0.7589812897702368,0.10602588080390415,-0.9409027834982762
31,0.9494468701239399,1.0236532246106542,0.82962809018076
32,-0.5411894107463521,-0.35278779109947084,-0.7048320003410714
33,-0.570140178960115,-0.35278779109947084,2.3345793328079405
34,2.3766689522410216,1.4824668965140293,-0.832703674551224
35,-0.44261805316102426,-0.8116014630028459,-0.20318158613201112
36,-0.49706333613042436,-0.8116014630028459,-0.7736859787619228
37,0.8925115981040624,0.5648395527072791,-0.2818718471844127
38,0.27048507968324015,-0.35278779109947084,-0.36056210823681434
40,1.6758051685602997,-0.35278779109947084,-0.6359780219202199
41,0.7104822493094404,-0.8116014630028459,-0.5376151956047179
42,0.21247205120867818,0.5648395527072791,0.1804334364984467
43,-0.9821652327854267,-0.8116014630028459,1.9903094407036837
44,-0.8257047267777993,-0.8116014630028459,2.187035093334688
45,-0.5827759442908973,-0.8116014630028459,-0.4982700650785171
46,0.6544017496501744,-0.8116014630028459,0.4755219154449527
47,3.1628613159202033,-0.35278779109947084,-0.7736859787619228
48,0.7990069346562737,1.0236532246106542,-0.4982700650785171
49,2.175846999518168,1.0236532246106542,-0.6654868698148706
51,-0.40732462627141774,-0.35278779109947084,2.049327136492985
52,0.34778623229508465,0.10602588080390415,-0.25236299928976214
53,-0.21807307042988786,0.10602588080390415,-0.33105326034216376
54,-0.5199563697885474,0.10602588080390415,1.1443891343903663
56,2.928480257039419,2.8589079122241543,-0.9605753487613766
57,-0.2397768555862903,-0.8116014630028459,0.1214157407091455
58,-0.32425066322413765,-0.8116014630028459,-0.36056210823681434
59,-0.2763710230246539,0.5648395527072791,-0.832703674551224
60,-0.22121962375735713,0.10602588080390415,-0.04580106402720791
61,0.9565699731290377,2.4000942403207794,-0.980247914024477
62,1.1134640593195841,-0.35278779109947084,0.6132298722866555
63,-0.10521834281868553,-0.8116014630028459,-0.22285415139511153
64,-0.4353215180827589,-0.8116014630028459,0.927990916496262
65,-0.2011015032699157,0.10602588080390415,-0.7736859787619228
67,3.1295375818615723,0.5648395527072791,-0.9015576529720754
68,-0.7999376759071845,-0.8116014630028459,-0.5671240434993685
72,-0.06936745569389752,-0.35278779109947084,-0.1540001729742601
74,-0.5365562967917319,-0.8116014630028459,-0.006455933501007107
76,1.9879209602358474,-0.35278779109947084,-0.8523762398143244
77,-0.875318687708959,-0.8116014630028459,2.6198315291228966
78,-0.8895525057139285,-0.8116014630028459,-0.9605753487613766
80,-0.9721309485521584,-0.8116014630028459,-0.7736859787619228
81,0.17364804282958834,-0.8116014630028459,-0.41957980402611555
82,-0.5334840714956203,-0.8116014630028459,1.4001324828106716
83,-0.6152944580098222,-0.8116014630028459,-0.5572877608678184
84,3.3870718225102303,0.5648395527072791,-0.7736859787619228
85,-0.8228802615862126,-0.35278779109947084,0.5443758938658041
87,-0.6362054108317443,-0.8116014630028459,-0.8228673919196737
88,-0.19207064745997418,-0.8116014630028459,0.32797767597169974
89,3.3028953269978136,-0.8116014630028459,-0.43925236928921596
90,1.8306056818676086,1.0236532246106542,-0.27203556455286254
91,2.1293795919144776,0.10602588080390415,-0.5572877608678184
92,1.4631402828411437,1.4824668965140293,-0.34088954297371393
93,-0.09258257748790337,-0.35278779109947084,-0.29170812981596295
94,-0.29143483737978254,-0.8116014630028459,0.534539611234254
95,0.09347287300525228,-0.35278779109947084,-0.8031948266565734
96,0.41951278255511315,0.5648395527072791,-0.46876121718386654
97,0.11757993117554853,2.4000942403207794,-0.8917213703405251
98,-0.2229167804733545,-0.35278779109947084,-0.8228673919196737
99,-0.25345321335607823,-0.35278779109947084,0.8591369380754106
102,3.454289138867902,1.0236532246106542,-0.7048320003410714
104,-0.23878581516818978,-0.8116014630028459,-0.45892493455231637
107,-0.3916414116549763,-0.8116014630028459,-0.9507390661298264
108,-0.48181370169690185,-0.8116014630028459,-0.881885087708975
109,2.506705843101043,0.5648395527072791,-0.7146682829726215
111,1.2993089137238933,2.4000942403207794,-0.8228673919196737
113,0.4738713494879295,0.10602588080390415,-0.8917213703405251
114,-0.6976994687748844,-0.8116014630028459,2.3149067675448403
116,-0.5422671672010365,-0.8116014630028459,-0.6064691740255693
117,-0.7865462422576005,-0.35278779109947084,-0.3703983908683645
118,-0.5975919985415008,-0.35278779109947084,0.6427387201813062
119,0.27496953757514536,1.9412805684174044,-0.832703674551224
120,0.11268666911117706,-0.8116014630028459,-0.18350902086891072
121,-0.6348055662411771,0.10602588080390415,-0.7835222613934729
123,1.441040081517501,-0.8116014630028459,2.3247430501763904
124,2.643271212715301,1.0236532246106542,-0.04580106402720791
125,-0.5377455452934528,-0.35278779109947084,-0.8130311092881236
126,-0.9769622705903986,-0.8116014630028459,1.3017696564951695
127,0.23620746922218663,0.10602588080390415,0.32797767597169974
128,-0.5746370248572464,-0.35278779109947084,-0.734340848235722
129,-0.8716642261672132,-0.8116014630028459,1.8034200707042298
130,-0.05892436728816284,-0.35278779109947084,0.41650421965565154
131,-0.8970224728653615,-0.35278779109947084,-0.34088954297371393
132,-0.3764041652266801,-0.8116014630028459,0.1214157407091455
133,0.1926884068623454,-0.8116014630028459,1.6362032659678765
134,-0.7227604033476026,-0.8116014630028459,2.4821235722811936
135,0.40127763886206264,-0.35278779109947084,-0.22285415139511153
136,1.809521296972519,0.5648395527072791,-0.7146682829726215
137,1.2124813850930574,1.0236532246106542,-0.980247914024477
138,-0.7126765670934295,-0.8116014630028459,-0.36056210823681434
139,1.8385340052124126,1.0236532246106542,-0.21301786876356132
140,-0.39202543981699034,-0.8116014630028459,0.41650421965565154
141,-0.8738692910974869,-0.35278779109947084,-0.6064691740255693
142,1.037661855340117,3.7765352560309045,-0.8031948266565734
144,0.3846777118588783,0.10602588080390415,-0.980247914024477
145,-0.6583303881658393,0.10602588080390415,-0.18350902086891072
146,0.970407374966767,1.4824668965140293,-0.9015576529720754
147,0.7905335390815137,0.5648395527072791,-0.39990723876301515
148,-0.9128915075601968,-0.8116014630028459,-0.8425399571827742
149,-0.6792413409877613,-0.8116014630028459,-0.6949957177095212
150,0.14747218778650695,-0.8116014630028459,0.2984688280770491
151,-0.1805993546204601,-0.35278779109947084,-0.08514619455340872
153,-0.6171526587937608,-0.8116014630028459,-0.7048320003410714
156,-0.025959885381092646,0.10602588080390415,-0.6949957177095212
157,-0.6756859834878256,-0.8116014630028459,-0.6359780219202199
158,-0.0368489419749726,-0.35278779109947084,-0.25236299928976214
159,0.19742062485877568,-0.35278779109947084,-0.5277789129731677
160,-0.8799641896688055,-0.35278779109947084,0.9574997643909126
161,-0.9847667138829406,-0.8116014630028459,0.6427387201813062
162,-0.04621427392602291,-0.8116014630028459,-0.21301786876356132
163,-0.8598956212022689,-0.8116014630028459,2.531304985438945
164,-0.6742985269024849,-0.8116014630028459,-0.5966328913940192
165,2.993120868310029,3.3177215841275296,-0.9113939356036256
166,-0.3201378454890202,-0.35278779109947084,-0.4982700650785171
168,-0.7335875199153513,-0.8116014630028459,-0.9113939356036256
169,-0.41676428625382567,-0.35278779109947084,2.068999701756085
170,1.308017681397952,-0.35278779109947084,-0.9409027834982762
171,-0.7721266041742373,-0.8116014630028459,1.9903094407036837
172,3.126242372471388,1.9412805684174044,-0.9113939356036256
173,-0.5689013784374893,-0.8116014630028459,1.5771855701785753
174,-0.8872483367418447,-0.8116014630028459,1.8526014838619809
175,-0.6992851334438455,-0.8116014630028459,-0.1441638903427099
178,-0.42432096944184255,-0.35278779109947084,-0.5966328913940192
179,0.06229226385076304,-0.35278779109947084,-0.9015576529720754
180,-0.8691370731010568,-0.8116014630028459,1.2427519607058684
181,-0.8419949536503273,-0.8116014630028459,2.118181114913836
182,0.5620367826832012,1.0236532246106542,-0.6359780219202199
183,-0.2531311252201956,0.10602588080390415,-0.6458143045517701
184,1.9082165346101094,-0.35278779109947084,-0.7835222613934729
185,-0.589316811050361,-0.8116014630028459,-0.22285415139511153
186,-0.5976415505624059,-0.8116014630028459,1.4394776133368723
187,-0.8453892670823218,-0.8116014630028459,-0.5966328913940192
188,-0.6327491573736185,-0.35278779109947084,1.360787352284471
190,1.7244280890733588,2.8589079122241543,-0.9507390661298264
191,1.1916819243181715,-0.35278779109947084,1.3116059391267199
192,-0.8240447340774808,-0.8116014630028459,-0.8228673919196737
193,-0.9391788546503145,-0.8116014630028459,-0.9113939356036256
194,-0.8513478975961515,-0.8116014630028459,-0.6064691740255693
195,-0.3561002246608447,-0.35278779109947084,-0.7048320003410714
197,-0.6110825362328948,-0.8116014630028459,2.1280173975453867
198,-0.5705118191169027,-0.35278779109947084,-0.08514619455340872
199,-0.5946684293081042,0.10602588080390415,0.0820706101829447
200,2.9063305036948712,2.8589079122241543,-0.6163054566571196
201,-0.5102193976807095,-0.35278779109947084,-0.48843378244696695
202,2.890226096900737,0.5648395527072791,-0.8031948266565734
203,2.409398062048793,1.9412805684174044,-0.8917213703405251
204,0.03275925939136618,1.9412805684174044,-0.7048320003410714
205,1.7949034508055353,3.3177215841275296,-0.7048320003410714
206,-0.4646439264533095,1.0236532246106542,0.8788095033385109
207,-0.8783289729789395,-0.8116014630028459,-0.4097435213945653
208,-0.30838162852930234,-0.8116014630028459,-0.7736859787619228
209,-0.7754342015696478,-0.35278779109947084,-0.21301786876356132
